1,Can you find all 5 things with wheels?,attribute,wheels
,,,
2,Can you find all of the animals in this picture? There are 2 of them.,object_type,animal
,,,
3,Find 2 things that are yellow,color,yellow
,,,
4,I spy 2 things in the sky,location,sky
,,,
5,Can you find 3 things that you would see on a farm?,location,farm
,,,
6,I spy 7 things that people can ride,object_type,vehicle
,,,
7,Can you find something you might see in water?,location,water
,,,
8,Find 3 things that you would see in the city,location,city
,,,
9,I Spy 1 thing that makes the sound “Choo Choo!”,attribute,choo_choo
,,,
10,Can find an animal that wakes you up in the morning?,attribute,wake_up
